시간,유저코드,카테고리,제품코드,가격,행동
2022-06-01 00:00:01,u514028527,패션,p13071150,411.59,V
2022-06-01 00:00:13,u550193582,자동차,p12705151,51.22,V
2022-06-01 00:00:13,u551977964,식품,p41002490,583.8,V
2022-06-01 00:00:19,u542985695,식품,p12705928,139.58,V
2022-06-01 00:00:31,u561564372,자동차,p26403348,84.43,V
2022-06-01 00:00:32,u554431806,자동차,p26020140,630.39,V
2022-06-01 00:00:35,u533351761,식품,p26400178,156.76,V
2022-06-01 00:00:38,u550193582,패션,p12705003,40.93,V
2022-06-01 00:00:39,u514028527,식품,p13063390,514.79,V
2022-06-01 00:00:39,u516316320,식품,p10051150,949.47,V
2022-06-01 00:00:40,u561564372,패션,p26401045,145.18,V
2022-06-01 00:00:48,u512458378,식품,p10051150,949.47,V
2022-06-01 00:00:54,u515764001,패션,p28600032,265.1,V
2022-06-01 00:00:57,u512370912,자동차,p65006950,248.66,V
2022-06-01 00:00:59,u553384439,식품,p13100924,180.18,V
2022-06-01 00:01:02,u546749946,식품,p12703125,214.29,V
2022-06-01 00:01:03,u539460154,패션,p48041370,89.78,V
2022-06-01 00:01:04,u512458378,컴퓨터,p10033060,577.89,V
2022-06-01 00:01:09,u556727865,자동차,p18018050,228.76,V
2022-06-01 00:01:11,u561564372,패션,p26400639,265.13,V
2022-06-01 00:01:13,u545220871,식품,p28719169,137.71,V
2022-06-01 00:01:13,u546749946,식품,p12719242,140.29,V
2022-06-01 00:01:15,u566099065,컴퓨터,p15100002,874.93,V
2022-06-01 00:01:21,u560134869,식품,p13200019,386.37,V
2022-06-01 00:01:30,u545680665,식품,p10051150,949.47,V
2022-06-01 00:01:31,u512432743,컴퓨터,p10050990,139.64,V
2022-06-01 00:01:35,u561564372,자동차,p26402195,211.33,V
2022-06-01 00:01:36,u566281421,식품,p26200141,176.32,V
2022-06-01 00:01:41,u536914564,패션,p15100310,411.59,V
2022-06-01 00:01:42,u561564372,식품,p26404599,265.39,V
2022-06-01 00:01:49,u514173771,패션,p10048860,128.68,V
2022-06-01 00:01:50,u553384439,식품,p13105144,180.18,V
2022-06-01 00:01:55,u545220871,식품,p28715962,100.39,V
2022-06-01 00:01:56,u512370912,식품,p64002940,459.47,V
2022-06-01 00:02:13,u536914564,패션,p53001480,39.87,V
2022-06-01 00:02:19,u524639276,패션,p28300644,115.32,V
2022-06-01 00:02:23,u524639276,식품,p28300398,49.42,V
2022-06-01 00:02:24,u566193886,식품,p10051610,211.92,V
2022-06-01 00:02:30,u543676870,식품,p48031860,25.71,V
2022-06-01 00:02:33,u548955190,식품,p26400606,152.9,V
2022-06-01 00:02:40,u513696396,식품,p12718921,74.26,V
2022-06-01 00:02:43,u543676870,식품,p48042950,22.8,V
2022-06-01 00:02:46,u516251960,컴퓨터,p13074440,424.7,V
2022-06-01 00:02:48,u545680665,컴퓨터,p14807490,810.81,V
2022-06-01 00:02:51,u561121118,식품,p10045050,553.17,V
2022-06-01 00:02:51,u561564372,패션,p26404652,154.19,V
2022-06-01 00:02:52,u512462542,컴퓨터,p40600067,15.19,V
2022-06-01 00:02:57,u516251960,식품,p13068390,545.68,V
2022-06-01 00:03:05,u543676870,식품,p48042950,22.8,C
2022-06-01 00:03:14,u516853100,컴퓨터,p27005980,314.08,V
2022-06-01 00:03:20,u516853100,패션,p27009840,537.21,V
2022-06-01 00:03:25,u543676870,식품,p48042950,22.8,V
2022-06-01 00:03:31,u512432743,컴퓨터,p48045920,257.38,V
2022-06-01 00:03:36,u563313908,식품,p10050170,91.32,V
2022-06-01 00:03:44,u512432743,컴퓨터,p48045720,208.5,V
2022-06-01 00:03:49,u516814920,식품,p26401458,105.54,V
2022-06-01 00:03:54,u516199545,패션,p10037720,257.12,V
