date,team,continent,H/A,oppenent,op_continent,scored_goal,conceded_goal,tournament,result
1994-01-02,Barbados,North America,Home,Grenada,North America,0,0,Frendly,Draw
1994-01-02,Grenada,North America,Away,Barbados,North America,0,0,Frendly,Draw
1994-01-02,Egypt,Africa,Home,Ghana,Africa,1,2,Frendly,Lose
1994-01-02,Ghana,Africa,Away,Egypt,Africa,2,1,Frendly,Win
1994-01-05,Mali,Africa,Home,Burkina Faso,Africa,1,1,Frendly,Draw
1994-01-05,Burkina Faso,Africa,Away,Mali,Africa,1,1,Frendly,Draw
1994-01-09,Mauritania,Africa,Home,Mali,Africa,1,3,Frendly,Lose
1994-01-09,Mali,Africa,Away,Mauritania,Africa,3,1,Frendly,Win
1994-01-11,Thailand,Asia,Home,Nigeria,Africa,1,1,Frendly,Draw
1994-01-11,Nigeria,Africa,Away,Thailand,Asia,1,1,Frendly,Draw
1994-01-15,USA,North America,Home,Norway,Europe,2,1,Frendly,Win
1994-01-15,Norway,Europe,Away,USA,North America,1,2,Frendly,Lose
1994-01-18,Guinea,Africa,Home,Côte d'Ivoire,Africa,3,0,Frendly,Win
1994-01-18,Côte d'Ivoire,Africa,Away,Guinea,Africa,0,3,Frendly,Lose
1994-01-19,Norway,Europe,Home,Costa Rica,North America,0,0,Frendly,Draw
1994-01-19,Costa Rica,North America,Away,Norway,Europe,0,0,Frendly,Draw
1994-01-19,Mexico,North America,Home,Bulgaria,Europe,1,1,Frendly,Draw
1994-01-19,Bulgaria,Europe,Away,Mexico,North America,1,1,Frendly,Draw
1994-01-19,Spain,Europe,Home,Portugal,Europe,2,2,Frendly,Draw
1994-01-19,Portugal,Europe,Away,Spain,Europe,2,2,Frendly,Draw
1994-01-19,Tunisia,Africa,Home,Netherlands,Europe,2,2,Frendly,Draw
1994-01-19,Netherlands,Europe,Away,Tunisia,Africa,2,2,Frendly,Draw
1994-01-22,Switzerland,Europe,Home,USA,North America,1,1,Frendly,Draw
1994-01-22,USA,North America,Away,Switzerland,Europe,1,1,Frendly,Draw
1994-01-23,Barbados,North America,Home,Puerto Rico,North America,0,1,Others,Lose
1994-01-23,Puerto Rico,North America,Away,Barbados,North America,1,0,Others,Win
1994-01-23,Mali,Africa,Home,Senegal,Africa,1,0,Frendly,Win
1994-01-23,Senegal,Africa,Away,Mali,Africa,0,1,Frendly,Lose
1994-01-23,China PR,Asia,Home,Saudi Arabia,Asia,0,1,Frendly,Lose
1994-01-23,Saudi Arabia,Asia,Away,China PR,Asia,1,0,Frendly,Win
1994-01-23,Guyana,South America,Home,Suriname,South America,0,2,Others,Lose
1994-01-23,Suriname,South America,Away,Guyana,South America,2,0,Others,Win
1994-01-25,Puerto Rico,North America,Home,Grenada,North America,0,1,Others,Lose
1994-01-25,Grenada,North America,Away,Puerto Rico,North America,1,0,Others,Win
1994-01-25,Finland,Europe,Home,Qatar,Asia,0,1,Frendly,Lose
1994-01-25,Qatar,Asia,Away,Finland,Europe,1,0,Frendly,Win
